CMDLINE /home/victorvikram/anaconda3/envs/speech/bin/python3.9 get_triplets.py
MEM 3.738281 1683229926.5564
MEM 14.097656 1683229926.6568
MEM 20.734375 1683229926.7572
MEM 26.265625 1683229926.8575
MEM 30.230469 1683229926.9579
MEM 35.070312 1683229927.0583
MEM 39.710938 1683229927.1587
MEM 48.058594 1683229927.2591
MEM 72.273438 1683229927.3596
MEM 80.070312 1683229927.4600
MEM 84.003906 1683229927.5603
MEM 87.097656 1683229927.6606
MEM 90.664062 1683229927.7609
MEM 92.722656 1683229927.8613
MEM 93.496094 1683229927.9616
MEM 98.078125 1683229928.0620
MEM 103.679688 1683229928.1624
MEM 110.101562 1683229928.2628
MEM 115.746094 1683229928.3632
MEM 119.347656 1683229928.4636
MEM 124.875000 1683229928.5640
MEM 126.976562 1683229928.6642
MEM 130.031250 1683229928.7646
MEM 130.347656 1683229928.8649
MEM 135.316406 1683229928.9652
MEM 142.820312 1683229929.0656
MEM 146.890625 1683229929.1662
MEM 152.656250 1683229929.2666
MEM 157.273438 1683229929.3670
MEM 160.968750 1683229929.4674
MEM 165.312500 1683229929.5677
MEM 169.695312 1683229929.6681
MEM 170.468750 1683229929.7684
MEM 170.984375 1683229929.8687
MEM 175.367188 1683229929.9691
MEM 180.187500 1683229930.0695
MEM 183.816406 1683229930.1699
MEM 187.453125 1683229930.2703
MEM 223.199219 1683229930.3707
MEM 228.773438 1683229930.4711
MEM 233.953125 1683229930.5715
MEM 258.710938 1683229930.6720
MEM 343.941406 1683229930.7725
MEM 416.378906 1683229930.8730
MEM 416.378906 1683229930.9736
MEM 513.632812 1683229931.0741
MEM 619.617188 1683229931.1746
MEM 701.601562 1683229931.2751
MEM 783.328125 1683229931.3756
MEM 867.117188 1683229931.4761
MEM 1007.199219 1683229931.5766
MEM 1025.761719 1683229931.6792
MEM 1025.761719 1683229931.7797
MEM 1026.277344 1683229931.8802
MEM 1111.355469 1683229931.9807
MEM 1196.175781 1683229932.0812
MEM 1279.964844 1683229932.1817
MEM 1365.816406 1683229932.2822
MEM 1449.343750 1683229932.3828
MEM 1452.777344 1683229932.4833
MEM 1452.777344 1683229932.5838
MEM 1452.777344 1683229932.6844
MEM 1452.777344 1683229932.7849
MEM 1492.941406 1683229932.8854
MEM 1633.800781 1683229932.9860
MEM 1763.730469 1683229933.0865
MEM 1845.957031 1683229933.1870
MEM 1927.671875 1683229933.2875
MEM 2015.308594 1683229933.3880
MEM 2082.835938 1683229933.4886
MEM 2082.835938 1683229933.5891
MEM 2082.835938 1683229933.6896
MEM 2082.835938 1683229933.7902
MEM 2082.835938 1683229933.8907
MEM 2082.835938 1683229933.9912
MEM 2110.933594 1683229934.0918
MEM 2196.769531 1683229934.1923
MEM 2276.781250 1683229934.2928
MEM 2359.781250 1683229934.3933
MEM 2442.269531 1683229934.4938
MEM 2530.675781 1683229934.5943
MEM 2619.593750 1683229934.6948
MEM 2707.386719 1683229934.7953
MEM 2753.773438 1683229934.8958
MEM 2753.773438 1683229934.9963
MEM 2753.773438 1683229935.0969
MEM 2753.773438 1683229935.1974
MEM 2753.773438 1683229935.2980
MEM 2753.773438 1683229935.3985
MEM 2753.773438 1683229935.4990
MEM 2753.773438 1683229935.5995
MEM 2753.773438 1683229935.7001
MEM 2835.074219 1683229935.8006
MEM 3130.742188 1683229935.9011
MEM 3215.562500 1683229936.0016
MEM 3296.773438 1683229936.1020
