CMDLINE /home/victorvikram/anaconda3/envs/speech/bin/python3.9 get_triplets.py
MEM 3575.582031 1683229390.2664
MEM 3652.667969 1683229390.3668
MEM 3738.261719 1683229390.4671
MEM 3822.308594 1683229390.5674
MEM 3848.042969 1683229390.6677
MEM 3848.042969 1683229390.7680
MEM 3848.042969 1683229390.8683
MEM 3848.042969 1683229390.9686
MEM 3848.042969 1683229391.0689
MEM 3848.042969 1683229391.1692
MEM 3848.042969 1683229391.2696
MEM 3848.042969 1683229391.3699
MEM 3848.042969 1683229391.4702
MEM 3848.042969 1683229391.5705
MEM 3848.042969 1683229391.6708
MEM 3848.042969 1683229391.7712
MEM 3848.042969 1683229391.8715
MEM 3848.042969 1683229391.9718
MEM 3848.042969 1683229392.0721
MEM 3848.042969 1683229392.1724
MEM 3848.042969 1683229392.2727
MEM 3848.042969 1683229392.3730
MEM 3848.042969 1683229392.4733
MEM 3848.042969 1683229392.5736
MEM 3848.042969 1683229392.6739
MEM 3889.363281 1683229392.7742
MEM 3967.398438 1683229392.8745
MEM 4045.277344 1683229392.9748
MEM 4126.878906 1683229393.0751
MEM 4202.199219 1683229393.1754
MEM 4274.640625 1683229393.2757
MEM 4354.363281 1683229393.3760
MEM 4431.843750 1683229393.4762
MEM 4513.906250 1683229393.5765
MEM 4590.386719 1683229393.6768
MEM 4669.433594 1683229393.7771
MEM 4748.476562 1683229393.8774
MEM 4823.121094 1683229393.9777
MEM 4868.207031 1683229394.0780
MEM 4868.406250 1683229394.1783
MEM 4868.406250 1683229394.2786
MEM 4868.406250 1683229394.3789
MEM 4868.406250 1683229394.4793
MEM 4868.406250 1683229394.5797
MEM 4868.406250 1683229394.6800
MEM 4868.406250 1683229394.7803
MEM 4868.406250 1683229394.8806
MEM 4868.406250 1683229394.9809
MEM 4868.406250 1683229395.0812
MEM 4868.406250 1683229395.1815
MEM 4868.406250 1683229395.2818
MEM 4868.406250 1683229395.3821
MEM 4868.406250 1683229395.4824
MEM 4868.406250 1683229395.5827
MEM 4868.406250 1683229395.6830
MEM 4868.406250 1683229395.7833
MEM 4868.406250 1683229395.8836
MEM 4868.406250 1683229395.9839
MEM 4868.406250 1683229396.0842
MEM 4868.406250 1683229396.1846
MEM 4896.015625 1683229396.2849
MEM 4974.710938 1683229396.3852
MEM 5053.921875 1683229396.4855
MEM 5130.003906 1683229396.5858
MEM 5207.894531 1683229396.6861
MEM 5283.003906 1683229396.7864
MEM 5361.003906 1683229396.8867
MEM 5437.101562 1683229396.9871
MEM 5674.824219 1683229397.0874
MEM 6024.652344 1683229397.1877
MEM 6105.472656 1683229397.2880
MEM 6189.585938 1683229397.3883
MEM 6277.398438 1683229397.4887
MEM 6365.335938 1683229397.5890
MEM 6450.910156 1683229397.6893
MEM 6536.871094 1683229397.7896
MEM 6621.855469 1683229397.8899
MEM 6672.734375 1683229397.9902
MEM 6672.921875 1683229398.0905
MEM 6672.921875 1683229398.1908
MEM 6672.921875 1683229398.2911
MEM 6672.921875 1683229398.3914
MEM 6672.921875 1683229398.4917
MEM 6672.921875 1683229398.5921
MEM 6672.921875 1683229398.6924
MEM 6672.921875 1683229398.7927
MEM 6672.921875 1683229398.8930
MEM 6672.921875 1683229398.9933
MEM 6672.921875 1683229399.0936
MEM 6672.921875 1683229399.1939
MEM 6672.921875 1683229399.2942
MEM 6672.921875 1683229399.3945
MEM 6672.921875 1683229399.4948
MEM 6672.921875 1683229399.5951
MEM 6672.921875 1683229399.6955
MEM 6672.921875 1683229399.7958
MEM 6672.921875 1683229399.8961
MEM 6672.921875 1683229399.9964
MEM 6672.921875 1683229400.0967
MEM 6697.046875 1683229400.1970
MEM 6783.695312 1683229400.2973
MEM 6869.027344 1683229400.3976
MEM 6957.968750 1683229400.4980
MEM 7037.113281 1683229400.5983
MEM 7126.832031 1683229400.6986
MEM 7212.683594 1683229400.7989
MEM 7296.726562 1683229400.8992
MEM 7383.867188 1683229400.9995
MEM 7472.039062 1683229401.0998
MEM 7550.156250 1683229401.2001
MEM 7639.875000 1683229401.3005
MEM 7721.855469 1683229401.4008
MEM 7810.800781 1683229401.5011
MEM 7895.878906 1683229401.6014
MEM 7979.152344 1683229401.7017
MEM 8066.035156 1683229401.8020
MEM 8147.246094 1683229401.9023
MEM 8175.730469 1683229402.0026
MEM 8175.730469 1683229402.1028
MEM 8175.730469 1683229402.2031
MEM 8175.730469 1683229402.3033
MEM 8175.730469 1683229402.4036
MEM 8175.730469 1683229402.5039
MEM 8175.730469 1683229402.6042
MEM 8175.730469 1683229402.7045
MEM 8175.730469 1683229402.8048
MEM 8175.730469 1683229402.9051
MEM 8175.730469 1683229403.0054
MEM 8175.730469 1683229403.1057
MEM 8175.730469 1683229403.2060
MEM 8175.730469 1683229403.3063
MEM 8175.730469 1683229403.4066
MEM 8175.730469 1683229403.5069
MEM 8175.730469 1683229403.6073
MEM 8175.730469 1683229403.7076
MEM 8175.730469 1683229403.8079
MEM 8175.730469 1683229403.9082
MEM 8175.730469 1683229404.0085
MEM 8175.730469 1683229404.1088
MEM 8175.730469 1683229404.2091
MEM 8175.730469 1683229404.3094
MEM 8175.730469 1683229404.4097
MEM 8175.730469 1683229404.5100
MEM 8175.730469 1683229404.6103
MEM 8239.070312 1683229404.7106
MEM 8321.566406 1683229404.8108
MEM 8406.140625 1683229404.9111
MEM 8494.054688 1683229405.0114
MEM 8575.566406 1683229405.1117
MEM 8665.800781 1683229405.2120
MEM 8747.285156 1683229405.3123
MEM 8837.261719 1683229405.4126
MEM 8918.730469 1683229405.5129
MEM 9007.714844 1683229405.6132
MEM 9097.683594 1683229405.7135
MEM 9175.757812 1683229405.8138
MEM 9266.113281 1683229405.9142
MEM 9348.210938 1683229406.0145
MEM 9437.800781 1683229406.1148
MEM 9519.910156 1683229406.2151
MEM 9610.503906 1683229406.3154
MEM 9693.191406 1683229406.4157
MEM 9783.269531 1683229406.5160
MEM 9861.769531 1683229406.6164
MEM 9920.039062 1683229406.7167
MEM 9920.039062 1683229406.8170
MEM 9920.039062 1683229406.9173
MEM 9920.039062 1683229407.0176
MEM 9920.039062 1683229407.1179
MEM 9920.039062 1683229407.2182
MEM 9920.039062 1683229407.3185
MEM 9920.039062 1683229407.4188
MEM 9920.039062 1683229407.5192
MEM 9920.039062 1683229407.6195
MEM 9920.039062 1683229407.7198
MEM 9920.039062 1683229407.8201
MEM 9920.039062 1683229407.9204
MEM 9920.039062 1683229408.0207
MEM 9920.039062 1683229408.1210
MEM 9920.039062 1683229408.2213
MEM 9920.039062 1683229408.3216
MEM 9920.039062 1683229408.4219
MEM 9920.039062 1683229408.5222
MEM 9920.039062 1683229408.6226
MEM 9920.039062 1683229408.7229
MEM 9920.039062 1683229408.8232
MEM 9920.039062 1683229408.9235
MEM 9920.039062 1683229409.0238
MEM 9920.039062 1683229409.1241
MEM 9920.039062 1683229409.2244
MEM 9920.039062 1683229409.3247
MEM 9920.039062 1683229409.4250
MEM 9920.039062 1683229409.5253
MEM 9920.039062 1683229409.6257
MEM 9920.039062 1683229409.7260
MEM 9920.039062 1683229409.8264
MEM 9920.039062 1683229409.9267
MEM 10001.035156 1683229410.0270
MEM 10089.171875 1683229410.1273
MEM 10173.371094 1683229410.2276
MEM 10255.871094 1683229410.3279
MEM 10344.816406 1683229410.4282
MEM 10425.769531 1683229410.5285
MEM 10514.402344 1683229410.6288
MEM 10597.160156 1683229410.7291
MEM 10688.464844 1683229410.8294
MEM 11052.847656 1683229410.9298
MEM 11523.613281 1683229411.0301
MEM 11780.652344 1683229411.1304
MEM 11862.378906 1683229411.2307
MEM 11949.078125 1683229411.3310
MEM 12032.609375 1683229411.4313
MEM 12120.882812 1683229411.5316
MEM 12204.156250 1683229411.6319
MEM 12293.359375 1683229411.7322
MEM 12375.675781 1683229411.8325
MEM 12463.074219 1683229411.9328
MEM 12548.667969 1683229412.0332
MEM 12636.066406 1683229412.1335
MEM 12719.468750 1683229412.2338
MEM 12807.125000 1683229412.3341
MEM 12892.460938 1683229412.4344
MEM 12977.023438 1683229412.5347
MEM 13067.089844 1683229412.6351
MEM 13148.300781 1683229412.7354
MEM 13150.878906 1683229412.8357
MEM 13150.878906 1683229412.9360
MEM 13151.054688 1683229413.0363
MEM 13151.054688 1683229413.1366
MEM 13151.054688 1683229413.2369
MEM 13151.054688 1683229413.3372
MEM 13151.054688 1683229413.4375
MEM 13151.054688 1683229413.5378
MEM 13151.054688 1683229413.6381
MEM 13151.054688 1683229413.7385
MEM 13151.054688 1683229413.8388
MEM 13151.054688 1683229413.9391
MEM 13151.054688 1683229414.0394
MEM 13151.054688 1683229414.1397
MEM 13151.054688 1683229414.2400
MEM 13151.054688 1683229414.3403
MEM 13151.054688 1683229414.4406
MEM 13151.054688 1683229414.5409
MEM 13151.054688 1683229414.6412
MEM 13151.054688 1683229414.7415
MEM 13151.054688 1683229414.8418
MEM 13151.054688 1683229414.9421
MEM 13151.054688 1683229415.0425
MEM 13151.054688 1683229415.1428
MEM 13151.054688 1683229415.2431
MEM 13151.054688 1683229415.3434
MEM 13151.054688 1683229415.4437
MEM 13151.054688 1683229415.5440
MEM 13151.054688 1683229415.6444
MEM 13151.054688 1683229415.7447
MEM 13151.054688 1683229415.8450
MEM 13151.054688 1683229415.9453
MEM 13151.054688 1683229416.0456
MEM 13151.054688 1683229416.1459
MEM 13151.054688 1683229416.2462
MEM 13151.054688 1683229416.3465
MEM 13151.054688 1683229416.4468
MEM 13151.054688 1683229416.5471
MEM 13151.054688 1683229416.6475
MEM 13151.054688 1683229416.7478
MEM 13174.886719 1683229416.8481
MEM 13257.128906 1683229416.9484
MEM 13343.496094 1683229417.0487
MEM 13429.953125 1683229417.1490
MEM 13509.359375 1683229417.2493
MEM 13597.269531 1683229417.3496
MEM 13685.691406 1683229417.4499
MEM 13771.800781 1683229417.5502
MEM 13854.558594 1683229417.6505
MEM 13944.535156 1683229417.7509
MEM 14026.519531 1683229417.8512
MEM 14115.207031 1683229417.9515
MEM 14196.933594 1683229418.0518
MEM 14286.394531 1683229418.1521
MEM 14368.636719 1683229418.2524
MEM 14450.878906 1683229418.3527
MEM 14536.730469 1683229418.4530
MEM 14618.199219 1683229418.5533
MEM 14708.691406 1683229418.6537
MEM 14790.675781 1683229418.7540
MEM 14878.589844 1683229418.8543
MEM 14960.769531 1683229418.9546
MEM 15043.527344 1683229419.0549
MEM 15134.808594 1683229419.1553
MEM 15217.050781 1683229419.2556
MEM 15307.800781 1683229419.3559
MEM 15392.718750 1683229419.4562
MEM 15473.929688 1683229419.5565
MEM 15562.359375 1683229419.6568
MEM 15650.132812 1683229419.7571
MEM 15735.726562 1683229419.8574
MEM 15815.390625 1683229419.9577
MEM 15904.113281 1683229420.0580
MEM 15981.199219 1683229420.1583
MEM 15981.199219 1683229420.2587
MEM 15981.421875 1683229420.3590
MEM 15981.421875 1683229420.4593
MEM 15981.421875 1683229420.5596
MEM 15981.421875 1683229420.6599
MEM 15981.421875 1683229420.7602
MEM 15981.421875 1683229420.8605
MEM 15981.421875 1683229420.9608
MEM 15981.421875 1683229421.0611
MEM 15981.421875 1683229421.1614
MEM 15981.421875 1683229421.2617
MEM 15981.421875 1683229421.3620
MEM 15981.421875 1683229421.4623
MEM 15981.421875 1683229421.5626
MEM 15981.421875 1683229421.6630
MEM 15981.421875 1683229421.7633
MEM 15981.421875 1683229421.8637
MEM 15981.421875 1683229421.9640
MEM 15981.421875 1683229422.0643
MEM 15981.421875 1683229422.1646
MEM 15981.421875 1683229422.2649
MEM 15981.421875 1683229422.3652
MEM 15981.421875 1683229422.4655
MEM 15981.421875 1683229422.5658
MEM 15981.421875 1683229422.6661
MEM 15981.421875 1683229422.7664
MEM 15981.421875 1683229422.8667
MEM 15981.421875 1683229422.9670
MEM 15981.421875 1683229423.0673
MEM 15981.421875 1683229423.1677
MEM 15981.421875 1683229423.2680
MEM 15981.421875 1683229423.3683
MEM 15981.421875 1683229423.4686
MEM 15981.421875 1683229423.5689
MEM 15981.421875 1683229423.6692
MEM 15981.421875 1683229423.7695
MEM 15981.421875 1683229423.8698
MEM 15981.421875 1683229423.9701
MEM 15981.421875 1683229424.0704
MEM 15981.421875 1683229424.1707
MEM 15981.421875 1683229424.2710
MEM 15981.421875 1683229424.3713
MEM 15981.421875 1683229424.4716
MEM 15981.421875 1683229424.5720
MEM 15981.421875 1683229424.6723
MEM 15981.421875 1683229424.7726
MEM 15981.421875 1683229424.8729
MEM 15981.421875 1683229424.9732
MEM 15981.421875 1683229425.0736
MEM 15981.421875 1683229425.1739
MEM 15981.421875 1683229425.2742
MEM 16045.250000 1683229425.3745
MEM 16133.933594 1683229425.4748
MEM 16222.878906 1683229425.5751
MEM 16311.308594 1683229425.6754
MEM 16394.324219 1683229425.7757
MEM 16477.593750 1683229425.8760
MEM 16565.507812 1683229425.9763
MEM 16649.039062 1683229426.0766
MEM 16736.953125 1683229426.1769
MEM 16825.898438 1683229426.2773
MEM 16906.593750 1683229426.3776
MEM 16995.281250 1683229426.4779
MEM 17083.195312 1683229426.5782
MEM 17164.664062 1683229426.6785
MEM 17252.578125 1683229426.7788
MEM 17337.398438 1683229426.8791
MEM 17424.023438 1683229426.9795
MEM 17502.140625 1683229427.0798
MEM 17590.625000 1683229427.1801
MEM 17679.312500 1683229427.2804
MEM 17769.031250 1683229427.3807
MEM 17853.640625 1683229427.4810
MEM 17936.398438 1683229427.5813
MEM 18022.738281 1683229427.6816
MEM 18110.652344 1683229427.7820
MEM 18199.339844 1683229427.8823
MEM 18287.769531 1683229427.9826
MEM 18375.972656 1683229428.0829
MEM 18463.886719 1683229428.1832
MEM 18551.027344 1683229428.2835
MEM 18637.308594 1683229428.3838
MEM 18719.292969 1683229428.4842
MEM 18803.074219 1683229428.5845
MEM 18891.246094 1683229428.6848
MEM 18978.644531 1683229428.7851
MEM 19065.269531 1683229428.8854
MEM 19151.894531 1683229428.9857
MEM 19240.835938 1683229429.0860
MEM 19331.328125 1683229429.1863
MEM 19421.562500 1683229429.2866
MEM 19507.929688 1683229429.3869
MEM 19594.554688 1683229429.4872
MEM 19680.664062 1683229429.5876
MEM 19767.027344 1683229429.6879
MEM 19852.363281 1683229429.7882
MEM 19949.042969 1683229429.8885
MEM 20034.378906 1683229429.9888
